,id,name,description,year,rating,votes,movie_length,age_rating,genres,countries
49,4795963,Нация в состоянии стресса,"Хирург и репортер Санджай Гупта в увлекательной форме пытается выяснить, почему средняя продолжительность жизни в США стала неуклонно снижаться и теперь уступает другим развитым странам мира. На его взгляд, в американском обществе человек испытывает на себе слишком большое количество стрессовых ситуаций. Гупта подробно объясняет, как повседневный прессинг окружающего мира сказывается на нашем самочувствии и воле к жизни.",2019,6.709,132,69,18,документальный,США
50,1402671,Рами Юссеф,"Спешл Рами Юссефа с откровенными историями из личного опыта комика, американца египетского происхождения и миллениала.",2019,7.107,213,60,18,комедия,США
51,827874,Дитя любви,"История южнокорейской пары, которая настолько была погружена в онлайн-игры, что их ребенок умер от голода.",2014,5.54,129,75,18,документальный|биография,США|Корея Южная
52,1398971,Круг смерти,2020 год. Несколько дней до начала «Режима самоизоляции (пандемия коронавируса COVID-19)». На окраине Москвы Дима вынужден оказаться в одиночестве. Он решается на психологический эксперимент. Что такое «Круг смерти» и можно ли его разорвать?,2020,5.286,210,12,18,короткометражка,Россия
53,253582,Место на серой треуголке,"Несколько дней молодого человека, живущего в Алма-Ате. Пьянки, подружки, пустая болтовня, наркотики — вот содержание его жизни. И, похоже, это надолго, если не навсегда.",1993,5.373,135,82,12,драма,Казахстан
54,61579,Обычные люди,"Действие социальной драмы происходит в Бруклине. Владелец местного ресторанчика из-за убытков решает закрыть заведение. Новость оборачивается настоящей драмой, ведь работники буквально посвятили свою жизнь этому месту. Осознав всю ответственность за судьбы людей, бизнесмена начинают одолевать сомнения. Но как бы не разрешился этот вопрос, доверие не вернуть.",2004,5.911,145,91,18,драма,США
55,4971972,Огонь,"Толик — глава большой семьи, который пытается построить жизнь в большом мегаполисе и прокормить семью. Вот уже много лет он продолжает работать курьером в обычной компании, имея при этом совсем небольшой доход. Застряв на должности простого трудящегося без перспективы продвижения, он вынужден жить в долг, вновь и вновь оформляя кредиты. Но при этом он возлагает большие надежды на свою дочь Сауле. В один из дней, вернувшись домой после работы, семья неожиданно узнает о беременности Сауле. Эта новость рушит радужные планы на будущее дочери. Пытаясь решить ситуацию, Толик ввязывается в череду сложностей и приключений, которые приводят его к совершенно неожиданным последствиям.",2020,7.053,331,82,18,драма|комедия,Казахстан
56,5355791,Неведомая Россия,"Россия, самая большая в мире страна, поражает разнообразием природных зон: от арктических льдов до субтропиков, от Атлантического океана до Тихого; степи, озера и реки, действующие вулканы, огромные леса — природа России поистине уникальна.",2020,8.63,514,50,6,документальный,Германия
57,841240,Никсон о Никсоне,nan,2014,7.058,137,71,18,документальный,США
58,4739518,Музыкальная шкатулка. Мистер Субботний вечер,nan,2021,7.034,197,83,18,документальный,США
59,808590,Ложное обвинение,"Искусствовед Доминик отправляется в Порто Эрколе, чтобы собрать материал о самой скрытой части жизни Микеланджело Караваджо. Неожиданно он оказывается втянутым в таинственную серию преступлений и сам становится главным обвиняемым в деле о краже ценных картин.",2022,5.329,265,96,18,триллер|криминал|приключения,Польша|Италия
60,1018940,Живёшь только раз,"Мелкий мошенник Лео проворачивает аферы и живет в свое удовольствие. Неожиданно он становится свидетелем заказного убийства, и теперь за его головой охотится профессиональный киллер. В отчаянии Лео укрывается в еврейской общине, и дело приобретает совсем некошерный оборот.",2017,6.135,187,90,18,боевик|триллер|комедия|криминал,Аргентина|Испания
61,767324,Неоновые мертвецы,"Выпускница колледжа нанимает двух специалистов по особо сложным задачам, чтобы они помогли девушке уничтожить нечисть в её новом доме.",2017,4.804,186,80,18,ужасы|фэнтези|комедия|приключения,США
62,4672965,Медленная суета,"История одного коррупционного скандала. Детектив полиции Балтимора Шон Сейтер был убит при исполнении служебных обязанностей. Частная трагедия неожиданно обернулась громким делом, в ходе которого была раскрыта многолетняя коррупционная схема. И без того натянутые отношения общественности с правоохранительными органами подорваны новой бомбой недоверия.",2021,6.406,183,88,18,документальный|криминал,США
63,1399022,"Человек, который выжил","Всё в нашем мире нестабильно. Очередная такая нестабильность пришла в наше время. Пандемия окутала все города и страны, и так сложно в таком ужасе не потерять свой ум и рассудок.",2020,5.193,195,15,12,короткометражка|комедия,Россия
64,1385254,Кармен,"Кармен пятьдесят лет и ее жизнь всегда была связана с церковью и ее семьей. Но одна неожиданная встреча, быстро переворачивает ее мир с ног на голову. Она начинает видеть все вокруг и себя по-новому.",2022,5.695,165,87,18,драма|мелодрама|комедия,Мальта|Канада
65,468740,"Лошадь, скрипка... и немножко нервно","Экспериментальный фильм на стыке разных видов кино — документального, игрового и анимационного.",1991,5.563,153,27,0,фэнтези|короткометражка,СССР
66,584170,Джерри Вайнтрауб. Голливудская легенда,"Документальная биография Джерри Вайнтрауба, легендарного продюсера и музыкального промоутера, рассказанная им самим, его близкими и его коллегами.",2011,6.383,276,87,18,документальный,США
67,803432,С осенью в сердце,"Cюжеты, сплетенные из реальных и воображаемых событий, соединены воедино главным героем — грустным клоуном и поэтом, не вписывающийся в окружающую действительность. Своеобразный коллаж из 14 мининовелл - кинозарисовок, сценок или интермедий, раскрывает хрупкий внутренний мир героя, романтика и рыцаря, но, в то же время, простака, далекого от житейских забот и витающего в облаках. Он разговаривает c деревьями, убегает во сне от кошмарной девочки, встречает фонтанщика, подстригающего струи воды у фонтанов и сказочника, рисующего цветные сказки. Он же и вратарь, спасающий цветущую футбольную штангу, и маленький мальчик, плачущий вместе с ночным дождем.",2015,6.053,151,100,12,фэнтези,Россия
68,4545465,Музыкальная шкатулка. Зазубренная,Рассказ о певице Аланис Мориссетт и ее легендарном альбоме Jagged Little Pill.,2021,7.549,165,99,18,документальный|биография|музыка,США
69,903551,Марс — это всё-таки опасно,"Астронавт Эли Кельн стал первым человеком на Марсе, но что-то пошло ужасно неправильно. Зараженный инопланетным организмом, он вернулся на Землю диким монстром с неутолимой жаждой человеческой плоти.",2016,4.111,234,77,18,ужасы|фантастика|комедия,США
70,4909843,"Привет, Уилли Мейс!","История жизненного пути Уилли Мейса, прославленного бейсболиста и символа борьбы с расовой сегрегацией в спорте. Начавший свою карьеру еще в 40-х, Мейс дебютировал в темнокожих лигах, а затем стал ценным игроком профессиональных команд, участвовавших в первых телевизионных трансляциях бейсбольных матчей.",2022,7.75,177,98,18,документальный|биография|спорт,США
71,263715,Американский первоцвет,"В небольшом городке в Калифорнийской пустыне живет наркоман Этан Инглебринк, который одержим своим садом. Он пытается вырастить редкий цветок - «американский первоцвет», но у него нет денег чтоб заплатить за аренду земли и надо еще найти денег на наркотики. Тогда он решается сыграть в покер с призовым фондом 10 000 и как всегда дело не обходится без женщины и опасностей...",2009,6.263,187,108,18,комедия,США
72,43475,Амангельды,"Фильм посвящен Амангельды Иманову (1873—1919), одному из руководителей Средне-азиатского восстания (1916) и борьбы за Советскую власть в Казахстане. Бывший бунтарь-одиночка, первым выступивший против царских карательных отрядов, в 1919 году Амангельды стал военным комиссаром.",1939,5.808,152,84,12,драма,СССР
73,1112084,Проверка на дороге,"В июне 2015 года 26-летнюю афроамериканку Брейон Кинг остановил офицер полиции. При аресте несдержанный страж правопорядка брутально повалил хрупкую девушку на землю и вел себя с ней, как с опасным преступником. Происшествие навсегда изменило жизнь Кинг.",2017,5.721,151,31,18,документальный|короткометражка,США
74,310002,Уголок Джейка,"Маленький американский городок посреди бескрайней пустыни. Трагедия не обошла стороной ни одного из тех, кто здесь живёт. Но всё-таки местные жители находят в себе силы объединиться, чтобы помочь Спенсеру — мальчику, недавно потерявшему родителей в автокатастрофе.",2008,5.885,162,98,12,драма|семейный,США
75,5235053,Позвоните мисс Клео,"О телеведущей и экстрасенсе мисс Клео, популярной в 90-е. Юри Делл Харрис (настоящее имя ясновидящей) работала на специальной горячей линии, где оказывала магически-психологическую помощь: например, раскладывала карты Таро. Продюсеры придумали ей псевдоним и образ шаманки, однако со временем эффектную женщину стали подозревать в мошенничестве. Фильм исследует этот многослойный феномен, расспрашивая знаменитостей того времени и тех, кто был близок к харизматичной гадалке.",2022,6.087,165,91,18,документальный,США
76,820470,Воспоминания о художнике. Роберт Де Ниро-старший,О жизни и творчестве художника Роберта Де Ниро-старшего.,2014,6.479,176,40,18,документальный|короткометражка,США
77,756353,В защиту слонов,Документальный фильм-расследование от HBO. Самые большие наземные животные оказались и самыми беззащитными. Они находятся на грани вымирания! Незнание равносильно безразличию.,2013,8.25,191,40,18,документальный|короткометражка|драма|история,США
78,1045369,Джеррод Кармайкл: 8,"Шоу комика Джеррода Кармайкла, в котором он говорит о победе Трампа, изменении климата, поддержке войск, правах животных, о том, что значит быть хорошим парнем и многом другом.",2017,7.026,168,59,18,комедия,США
